###################################################
#
# File generated by the CONCEPT program radiate
#
# Horizontal diagram 
# Values for far field 
# Column  1 : Angle
# Column  2 : Magnitude, 90.0000 MHz                  
# 
   0.000000  0.000000
   0.157080  0.000000
   0.314159  0.000000
   0.471239  0.000000
   0.628319  0.000000
   0.785398  0.000000
   0.942478  0.000000
   1.09956  0.000000
   1.25664  0.000000
   1.41372  0.000000
   1.57080  0.000000
   1.72788  0.000000
   1.88496  0.000000
   2.04204  0.000000
   2.19911  0.000000
   2.35619  0.000000
   2.51327  0.000000
   2.67035  0.000000
   2.82743  0.000000
   2.98451  0.000000
   3.14159  0.000000
   3.29867  0.000000
   3.45575  0.000000
   3.61283  0.000000
   3.76991  0.000000
   3.92699  0.000000
   4.08407  0.000000
   4.24115  0.000000
   4.39823  0.000000
   4.55531  0.000000
   4.71239  0.000000
   4.86947  0.000000
   5.02655  0.000000
   5.18363  0.000000
   5.34071  0.000000
   5.49779  0.000000
   5.65487  0.000000
   5.81195  0.000000
   5.96903  0.000000
   6.12611  0.000000
   6.28319  0.000000
